# the linear shift conductivity in uA*Ang/V^2
#column    1               2               3               4               5               6               7               8               9              10              11              12              13              14              15              16              17              18              19
#Frequency (eV             xxx             xxy             xxz             xyy             xyz             xzz             yxx             yxy             yxz             yyy             yyz             yzz             zxx             zxy             zxz             zyy             zyz             zzz
  0.00000000E+00 -0.10993697E+00 -0.21178595E+02  0.36686364E+00 -0.13965657E+00 -0.86728908E-02  0.27285794E-02 -0.21262515E+02 -0.39966282E-01 -0.15693994E-02  0.20751651E+02 -0.12414240E+00  0.64576083E-01  0.77722174E+00  0.85926111E-02  0.13086347E-02  0.23493229E+00  0.74669883E-01  0.18911340E-01
  0.25062657E-02 -0.11326704E+00 -0.22195279E+02  0.38439131E+00 -0.14592329E+00 -0.90980506E-02  0.28229896E-02 -0.22289057E+02 -0.41281037E-01 -0.16417098E-02  0.21754724E+02 -0.13132048E+00  0.67381501E-01  0.81647541E+00  0.90267602E-02  0.13226927E-02  0.24442446E+00  0.78028154E-01  0.20027535E-01
  0.50125313E-02 -0.12310691E+00 -0.25278723E+02  0.43750645E+00 -0.16487119E+00 -0.10388546E-01  0.31035550E-02 -0.25403019E+02 -0.45181941E-01 -0.18610491E-02  0.24797724E+02 -0.15321639E+00  0.75852408E-01  0.93571193E+00  0.10344981E-01  0.13580087E-02  0.27299721E+00  0.88184154E-01  0.23438273E-01
  0.75187970E-02 -0.13898473E+00 -0.30526053E+02  0.52774332E+00 -0.19692341E+00 -0.12588180E-01  0.35616771E-02 -0.30704337E+02 -0.51529866E-01 -0.22344848E-02  0.29979003E+02 -0.19089632E+00  0.90142855E-01  0.11392362E+01  0.12593214E-01  0.13935815E-02  0.32090166E+00  0.10537021E+00  0.29327529E-01
  0.10025063E-01 -0.16004748E+00 -0.38089059E+02  0.65745239E+00 -0.24271930E+00 -0.15765835E-01  0.41810918E-02 -0.38349394E+02 -0.60063696E-01 -0.27732797E-02  0.37452599E+02 -0.24607366E+00  0.11047714E+00  0.14338173E+01  0.15843428E-01  0.13930671E-02  0.38843333E+00  0.12993652E+00  0.37993472E-01
  0.12531328E-01 -0.18497135E+00 -0.48159288E+02  0.82949363E+00 -0.30301978E+00 -0.20009343E-01  0.49352301E-02 -0.48535972E+02 -0.70359704E-01 -0.34921380E-02  0.47413616E+02 -0.32101217E+00  0.13710309E+00  0.18280812E+01  0.20186811E-01  0.13030594E-02  0.47575579E+00  0.16229752E+00  0.49835170E-01
  0.15037594E-01 -0.21185669E+00 -0.60947765E+02  0.10468153E+01 -0.37858316E+00 -0.25417095E-01  0.57840414E-02 -0.61482721E+02 -0.81781117E-01 -0.44081929E-02  0.60078253E+02 -0.41838822E+00  0.17023068E+00  0.23316660E+01  0.25724408E-01  0.10512509E-02  0.58267027E+00  0.20286055E+00  0.65332927E-01
  0.17543860E-01 -0.23812631E+00 -0.76660033E+02  0.13119302E+01 -0.47002024E+00 -0.32087620E-01  0.66707772E-02 -0.77403835E+02 -0.93424222E-01 -0.55397839E-02  0.75659169E+02 -0.54111243E+00  0.20996025E+00  0.29541580E+01  0.32555528E-01  0.54500130E-03  0.70834819E+00  0.25194103E+00  0.85021599E-01
  0.20050125E-01 -0.26044951E+00 -0.95467689E+02  0.16263100E+01 -0.57763997E+00 -0.40107570E-01  0.75193374E-02 -0.96480069E+02 -0.10406889E+00 -0.69050885E-02  0.94337231E+02 -0.69211370E+00  0.25620586E+00  0.37038375E+01  0.40764380E-01 -0.32907768E-03  0.85104812E+00  0.30966996E+00  0.10945652E+00
  0.22556391E-01 -0.27471545E+00 -0.11747798E+03  0.19897267E+01 -0.70129941E+00 -0.49538712E-01  0.82328407E-02 -0.11882766E+03 -0.11214250E+00 -0.85206893E-02  0.11623119E+03 -0.87409284E+00  0.30862073E+00  0.45862913E+01  0.50405684E-01 -0.17038918E-02  0.10078431E+01  0.37590083E+00  0.13917228E+00
  0.25062657E-01 -0.27607810E+00 -0.14270355E+03  0.23995835E+01 -0.84027296E+00 -0.60404778E-01  0.86940717E-02 -0.14446726E+03 -0.11570674E+00 -0.10400174E-01  0.14136728E+03 -0.10892581E+01  0.36653242E+00  0.56029668E+01  0.61490224E-01 -0.37284169E-02  0.11743866E+01  0.45012447E+00  0.17463539E+00
  0.27568922E-01 -0.25909064E+00 -0.17103483E+03  0.28502847E+01 -0.99315616E+00 -0.72679155E-01  0.87683635E-02 -0.17329535E+03 -0.11247610E+00 -0.12552864E-01  0.16965117E+03 -0.13390599E+01  0.42889592E+00  0.67497718E+01  0.73971539E-01 -0.65616167E-02  0.13447472E+01  0.53140117E+00  0.21619292E+00
  0.30075188E-01 -0.21793956E+00 -0.20221768E+03  0.33327043E+01 -0.11578177E+01 -0.86274583E-01  0.83092863E-02 -0.20506087E+03 -0.99875374E-01 -0.14982777E-01  0.20084495E+03 -0.16239468E+01  0.49427223E+00  0.80158391E+01  0.87735101E-01 -0.10363554E-01  0.15113380E+01  0.61831897E+00  0.26402013E+00
  0.32581454E-01 -0.14677788E+00 -0.23583915E+03  0.38338153E+01 -0.13314102E+01 -0.10103600E+00  0.71672245E-02 -0.23934995E+03 -0.75140520E-01 -0.17687894E-01  0.23455181E+03 -0.19431675E+01  0.56083884E+00  0.93825909E+01  0.10259132E+00 -0.15283859E-01  0.16649646E+01  0.70898640E+00  0.31807116E+00
  0.35087719E-01 -0.40144159E-01 -0.27132347E+03  0.43365396E+01 -0.15104435E+01 -0.11673756E+00  0.52005646E-02 -0.27558107E+03 -0.35463072E-01 -0.20659785E-01  0.27021091E+03 -0.22946416E+01  0.62643581E+00  0.10823230E+02  0.11827361E+00 -0.21448114E-01  0.17950049E+01  0.80106517E+00  0.37803730E+00
  0.37593985E-01  0.10655956E+00 -0.30794030E+03  0.48198673E+01 -0.16909209E+01 -0.13308471E+00  0.22888108E-02 -0.31301255E+03  0.21826467E-01 -0.23883609E-01  0.30710420E+03 -0.26749230E+01  0.68864831E+00  0.12302769E+02  0.13444231E+00 -0.28943108E-01  0.18897243E+01  0.89184545E+00  0.44331773E+00
  0.40100251E-01  0.29657024E+00 -0.34482574E+03  0.52592814E+01 -0.18685269E+01 -0.14972162E+00 -0.16534394E-02 -0.35076331E+03  0.99046339E-01 -0.27338451E-01  0.34437605E+03 -0.30792666E+01  0.74492238E+00  0.13778681E+02  0.15069503E+00 -0.37802272E-01  0.19367188E+01  0.97836189E+00  0.51300702E+00
  0.42606516E-01  0.53129535E+00 -0.38101582E+03  0.56274976E+01 -0.20388517E+01 -0.16624393E+00 -0.66630467E-02 -0.38784648E+03  0.19793739E+00 -0.30997922E-01  0.38106557E+03 -0.35018055E+01  0.79270684E+00  0.15202196E+02  0.16658298E+00 -0.47992872E-01  0.19234643E+01  0.10575444E+01  0.58590301E+00
  0.45112782E-01  0.80992630E+00 -0.41549084E+03  0.58955033E+01 -0.21976312E+01 -0.18221629E+00 -0.12716967E-01 -0.42321428E+03  0.31944227E+00 -0.34830913E-01  0.41614988E+03 -0.39358287E+01  0.82961094E+00  0.16520210E+02  0.18163262E+00 -0.59406585E-01  0.18379396E+01  0.11263932E+01  0.66053678E+00
  0.47619048E-01  0.11291846E+01 -0.44722746E+03  0.60338532E+01 -0.23409781E+01 -0.19719335E+00 -0.19724525E-01 -0.45581137E+03  0.46351160E+00 -0.38802370E-01  0.44859576E+03 -0.43741407E+01  0.85356418E+00  0.17677734E+02  0.19537097E+00 -0.71854971E-01  0.16692836E+01  0.11821642E+01  0.73522469E+00
  0.50125313E-01  0.14832422E+01 -0.47525485E+03  0.60141484E+01 -0.24655803E+01 -0.21074283E+00 -0.27524648E-01 -0.48463256E+03  0.62895884E+00 -0.42873987E-01  0.47741575E+03 -0.48094704E+01  0.86296404E+00  0.18620702E+02  0.20735261E+00 -0.85071006E-01  0.14084396E+01  0.12225486E+01  0.80814028E+00
  0.52631579E-01  0.18638433E+01 -0.49871020E+03  0.58106077E+01 -0.25688454E+01 -0.22246869E+00 -0.35888960E-01 -0.50878034E+03  0.81338315E+00 -0.47004698E-01  0.50172427E+03 -0.52348914E+01  0.85679723E+00  0.19298977E+02  0.21718619E+00 -0.98717281E-01  0.10487422E+01  0.12458305E+01  0.87740145E+00
  0.55137845E-01  0.22606316E+01 -0.51688895E+03  0.54016219E+01 -0.26489808E+01 -0.23203240E+00 -0.44531015E-01 -0.52751739E+03  0.10131751E+01 -0.51150957E-01  0.52078902E+03 -0.56442093E+01  0.83472222E+00  0.19669292E+02  0.22455782E+00 -0.11240077E+00  0.58640371E+00  0.12510067E+01  0.94116665E+00
  0.57644110E-01  0.26616696E+01 -0.52928542E+03  0.47711783E+01 -0.27050011E+01 -0.23917072E+00 -0.53121283E-01 -0.54030948E+03  0.12236121E+01 -0.55266799E-01  0.53407325E+03 -0.60322768E+01  0.79710467E+00  0.19697913E+02  0.22924951E+00 -0.12569336E+00  0.20867571E-01  0.12378582E+01  0.99773270E+00
  0.60150376E-01  0.30541084E+01 -0.53562030E+03  0.39100491E+01 -0.27366707E+01 -0.24370834E+00 -0.61306789E-01 -0.54685509E+03  0.14390438E+01 -0.59303800E-01  0.54126530E+03 -0.63952011E+01  0.74500142E+00  0.19362807E+02  0.23115078E+00 -0.13815651E+00 -0.64499617E+00  0.12069653E+01  0.10456260E+01
  0.62656642E-01  0.34249540E+01 -0.53585274E+03  0.28166491E+01 -0.27443933E+01 -0.24556450E+00 -0.68733709E-01 -0.54709931E+03  0.16531566E+01 -0.63211055E-01  0.54229285E+03 -0.67304260E+01  0.68009456E+00  0.18655120E+02  0.23026274E+00 -0.14936810E+00 -0.14048632E+01  0.11596656E+01  0.10836799E+01
  0.65162907E-01  0.37618604E+01 -0.53017637E+03  0.14974954E+01 -0.27290703E+01 -0.24475338E+00 -0.75070827E-01 -0.54123100E+03  0.18593004E+01 -0.66935380E-01  0.53732112E+03 -0.70366796E+01  0.60458163E+00  0.17579873E+02  0.22669422E+00 -0.15894885E+00 -0.22490950E+01  0.10979583E+01  0.11110915E+01
  0.67669173E-01  0.40538785E+01 -0.51899995E+03 -0.32769855E-01 -0.26919489E+01 -0.24137839E+00 -0.80031624E-01 -0.52966400E+03  0.20508528E+01 -0.70421895E-01  0.52673542E+03 -0.73138011E+01  0.52103245E+00  0.16155800E+02  0.22065074E+00 -0.16658603E+00 -0.31650354E+01  0.10243662E+01  0.11274542E+01
  0.70175439E-01  0.42920946E+01 -0.50291488E+03 -0.17518021E+01 -0.26344850E+01 -0.23562139E+00 -0.83392876E-01 -0.51300443E+03  0.22215921E+01 -0.73615146E-01  0.51111010E+03 -0.75624724E+01  0.43222607E+00  0.14414380E+02  0.21241762E+00 -0.17205215E+00 -0.41374441E+01  0.94176639E+00  0.11327632E+01
  0.72681704E-01  0.44701035E+01 -0.48265294E+03 -0.36303952E+01 -0.25582373E+01 -0.22772806E+00 -0.85008046E-01 -0.49200742E+03  0.23660501E+01 -0.76460823E-01  0.49116716E+03 -0.77838908E+01  0.34098240E+00  0.12398134E+02  0.20233897E+00 -0.17521710E+00 -0.51490399E+01  0.85320714E+00  0.11273953E+01
  0.75187970E-01  0.45842820E+01 -0.45903808E+03 -0.56336854E+01 -0.24648048E+01 -0.21799092E+00 -0.84814372E-01 -0.46752737E+03  0.24798150E+01 -0.78908050E-01  0.46772842E+03 -0.79794276E+01  0.25000300E+00  0.10158348E+02  0.19079465E+00 -0.17605272E+00 -0.61811274E+01  0.76172660E+00  0.11120661E+01
  0.77694236E-01  0.46338506E+01 -0.43293677E+03 -0.77226416E+01 -0.23558100E+01 -0.20673169E+00 -0.82833240E-01 -0.44046618E+03  0.25597639E+01 -0.80912107E-01  0.44166537E+03 -0.81503164E+01  0.16173321E+00  0.77523949E+01  0.17817724E+00 -0.17462978E+00 -0.72142735E+01  0.67018757E+00  0.10877684E+01
  0.80200501E-01  0.46207305E+01 -0.40521060E+03 -0.98557435E+01 -0.22329212E+01 -0.19428425E+00 -0.79164181E-01 -0.41172346E+03  0.26042053E+01 -0.82437349E-01  0.41385096E+03 -0.82974072E+01  0.78254978E-01  0.52408766E+01  0.16487096E+00 -0.17110794E+00 -0.82290052E+01  0.58114072E+00  0.10556994E+01
  0.82706767E-01  0.45492254E+01 -0.37667472E+03 -0.11990745E+02 -0.20979022E+01 -0.18097949E+00 -0.73973474E-01 -0.38215249E+03  0.26129257E+01 -0.83460009E-01  0.38511663E+03 -0.84210153E+01  0.12157451E-02  0.26847674E+01  0.15123374E+00 -0.16572020E+00 -0.92064963E+01  0.49672398E+00  0.10171825E+01
  0.85213033E-01  0.44255718E+01 -0.34806436E+03 -0.14086415E+02 -0.19526705E+01 -0.16713276E+00 -0.67478821E-01 -0.35252446E+03  0.25871388E+01 -0.83970540E-01  0.35621732E+03 -0.85208766E+01 -0.68205183E-01  0.14275312E+00  0.13758373E+00 -0.15875343E+00 -0.10129218E+02  0.41860182E+00  0.97359045E+00
  0.87719298E-01  0.42574063E+01 -0.32001098E+03 -0.16104159E+02 -0.17993476E+01 -0.15303429E+00 -0.59931808E-01 -0.32350261E+03  0.25293479E+01 -0.83975186E-01  0.32780587E+03 -0.85962079E+01 -0.12929500E+00 -0.23310900E+01  0.12419025E+00 -0.15052720E+00 -0.10981522E+02  0.34794402E+00  0.92627514E+00
  0.90225564E-01  0.40532047E+01 -0.29302837E+03 -0.18009428E+02 -0.16402833E+01 -0.13894268E+00 -0.51599924E-01 -0.29562679E+03  0.24431348E+01 -0.83496529E-01  0.30041753E+03 -0.86458561E+01 -0.18177562E+00 -0.46891663E+01  0.11126941E+00 -0.14137273E+00 -0.11750135E+02  0.28543978E+00  0.87650901E+00
  0.92731830E-01  0.38217407E+01 -0.26750807E+03 -0.19772854E+02 -0.14780456E+01 -0.12508109E+00 -0.42749732E-01 -0.26930799E+03  0.23328971E+01 -0.82572863E-01  0.27446405E+03 -0.86685116E+01 -0.22574882E+00 -0.68917183E+01  0.98983739E-01 -0.13161373E+00 -0.12424542E+02  0.23134068E+00  0.82543986E+00
  0.95238095E-01  0.35716025E+01 -0.24372295E+03 -0.21371060E+02 -0.13153699E+01 -0.11163579E+00 -0.33632452E-01 -0.24483142E+03  0.22035571E+01 -0.81256403E-01  0.25023608E+03 -0.86629513E+01 -0.26162644E+00 -0.89076473E+01  0.87445109E-01 -0.12155048E+00 -0.12997242E+02  0.18552428E+00  0.77406068E+00
  0.97744361E-01  0.33107968E+01 -0.22183701E+03 -0.22787118E+02 -0.11550715E+01 -0.98756540E-01 -0.24472799E-01 -0.22236667E+03  0.20602646E+01 -0.79610452E-01  0.22791239E+03 -0.86282797E+01 -0.29005335E+00 -0.10714815E+02  0.76720094E-01 -0.11144783E+00 -0.13463867E+02  0.14756986E+00  0.72319391E+00
  0.10025063E+00  0.30464542E+01 -0.20191976E+03 -0.24010658E+02 -0.99993032E+00 -0.86558216E-01 -0.15461468E-01 -0.20198259E+03  0.19081171E+01 -0.77705787E-01  0.20757380E+03 -0.85641364E+01 -0.31183062E+00 -0.12299870E+02  0.66836805E-01 -0.10152761E+00 -0.13823154E+02  0.11683821E+00  0.67348866E+00
  0.10275689E+00  0.27846414E+01 -0.18396289E+03 -0.25037657E+02 -0.85256144E+00 -0.75123350E-01 -0.67512375E-02 -0.18366506E+03  0.17519144E+01 -0.75616597E-01  0.18921994E+03 -0.84708477E+01 -0.32784436E+00 -0.13657677E+02  0.57792395E-01 -0.91965115E-01 -0.14076786E+02  0.92548711E-01  0.62542840E+00
  0.10526316E+00  0.25302713E+01 -0.16789784E+03 -0.25869931E+02 -0.71528646E+00 -0.64505126E-01  0.15436782E-02 -0.16733575E+03  0.15959617E+01 -0.73416367E-01  0.17278702E+03 -0.83495057E+01 -0.33900432E+00 -0.14790427E+02  0.49560541E-01 -0.82889281E-01 -0.14229109E+02  0.73848550E-01  0.57934656E+00
  0.10776942E+00  0.22871000E+01 -0.15361269E+03 -0.26514410E+02 -0.59002141E+00 -0.54730676E-01  0.93456154E-02 -0.15287027E+03  0.14439288E+01 -0.71174054E-01  0.15816516E+03 -0.82019741E+01 -0.34619470E+00 -0.15706522E+02  0.42098388E-01 -0.74385751E-01 -0.14286746E+02  0.59870712E-01  0.53544709E+00
  0.11027569E+00  0.20577915E+01 -0.14096736E+03 -0.26982246E+02 -0.47819298E+00 -0.45804481E-01  0.16609517E-01 -0.14011471E+03  0.12987671E+01 -0.68950908E-01  0.14521424E+03 -0.80308226E+01 -0.35023780E+00 -0.16419336E+02  0.35352618E-01 -0.66502010E-01 -0.14258137E+02  0.49779158E-01  0.49382740E+00
  0.11278195E+00  0.18440309E+01 -0.12980663E+03 -0.27287829E+02 -0.38069114E+00 -0.37711813E-01  0.23317789E-01 -0.12889974E+03  0.11626834E+01 -0.66798122E-01  0.13377742E+03 -0.78392039E+01 -0.35187016E+00 -0.16945928E+02  0.29264469E-01 -0.59253738E-01 -0.14153036E+02  0.42801014E-01  0.45450161E+00
  0.11528822E+00  0.16466671E+01 -0.11997053E+03 -0.27447782E+02 -0.29786133E+00 -0.30422152E-01  0.29474634E-01 -0.11905192E+03  0.10371617E+01 -0.64755468E-01  0.12369215E+03 -0.76306904E+01 -0.35172966E+00 -0.17305791E+02  0.23773655E-01 -0.52631622E-01 -0.13982000E+02  0.38246777E-01  0.41742244E+00
  0.11779449E+00  0.14658688E+01 -0.11130225E+03 -0.27480000E+02 -0.22953411E+00 -0.23892550E-01  0.35100425E-01 -0.11040228E+03  0.92302460E+00 -0.62850901E-01  0.11479855E+03 -0.74090906E+01 -0.35035181E+00 -0.17519697E+02  0.18821258E-01 -0.46608005E-01 -0.13755898E+02  0.35520246E-01  0.38250047E+00
  0.12030075E+00  0.13012797E+01 -0.10365363E+03 -0.27402767E+02 -0.17508654E+00 -0.18070874E-01  0.40226516E-01 -0.10279224E+03  0.82052222E+00 -0.61101060E-01  0.10694528E+03 -0.71782634E+01 -0.34817300E+00 -0.17608683E+02  0.14351686E-01 -0.41142946E-01 -0.13485468E+02  0.34120284E-01  0.34962046E+00
  0.12280702E+00  0.11521630E+01 -0.96888630E+02 -0.27234021E+02 -0.13352635E+00 -0.12898882E-01  0.44890777E-01 -0.96077306E+02  0.72943817E+00 -0.59512494E-01  0.99993295E+02 -0.69419463E+01 -0.34553857E+00 -0.17593214E+02  0.10313870E-01 -0.36189404E-01 -0.13180937E+02  0.33636577E-01  0.31865428E+00
